"","DRCCLACBN"
"1",5.31
"2",5.35
"3",5.43
"4",5.32
"5",5.32
"6",4.97
"7",5.05
"8",4.7
"9",4.64
"10",4.34
"11",4.15
"12",3.92
"13",3.63
"14",3.19
"15",3.3
"16",3.31
"17",3.5
"18",3.59
"19",3.92
"20",4
"21",4.05
"22",4.12
"23",4.54
"24",4.69
"25",4.68
"26",4.56
"27",4.79
"28",4.92
"29",4.73
"30",4.59
"31",4.82
"32",4.85
"33",4.62
"34",4.4
"35",4.7
"36",4.67
"37",4.38
"38",4.34
"39",4.62
"40",4.71
"41",4.75
"42",4.75
"43",5.09
"44",4.86
"45",4.85
"46",4.61
"47",4.96
"48",5.05
"49",4.57
"50",4.38
"51",4.29
"52",4.62
"53",4.1
"54",4.02
"55",4.12
"56",4.2
"57",3.62
"58",3.56
"59",3.95
"60",3.65
"61",3.8
"62",4.01
"63",4.17
"64",4.05
"65",3.96
"66",3.9
"67",4.45
"68",4.68
"69",4.8
"70",4.74
"71",4.83
"72",5.72
"73",6.61
"74",6.53
"75",6.51
"76",6.43
"77",5.88
"78",4.9
"79",4.59
"80",4.22
"81",3.89
"82",3.5
"83",3.47
"84",3.32
"85",3.1
"86",2.79
"87",2.84
"88",2.78
"89",2.67
"90",2.41
"91",2.47
"92",2.45
"93",2.33
"94",2.15
"95",2.23
"96",2.22
"97",2.13
"98",2.01
"99",2.18
"100",2.23
"101",2.16
"102",2.09
"103",2.33
"104",2.44
"105",2.42
"106",2.35
"107",2.57
"108",2.56
"109",2.54
"110",2.35
"111",2.54
"112",2.63
